,trope,length,Romance,Comedy,Action,Adventure,Horror,Thriller,Crime,Drama,History,Mystery,War,Science Fiction,TV Movie,Fantasy,Music,Family,Documentary,Western,Animation
84,IHaveToWashMyHair,31,12,24,4,3,2,2,1,9,0,1,0,3,0,4,2,5,0,1,1
85,INeedToGoIronMyDog,46,16,35,9,8,3,4,2,12,0,3,1,4,0,5,4,7,0,1,2
86,INeedToIronMyDog,30,13,23,3,2,2,1,1,10,0,1,0,2,0,4,2,5,0,1,1
87,INeedtoGoIronMyDog,29,12,23,3,2,2,1,1,9,0,1,0,2,0,4,2,5,0,1,1
88,IWantMyBelovedToBeHappy,184,91,68,23,25,11,12,10,110,5,5,5,18,5,23,18,14,5,2,3
89,ImpossiblyTackyClothes,26,10,16,3,7,1,0,3,8,0,1,0,3,0,5,2,2,0,1,1
90,InnocentlyInsensitive,133,30,75,26,23,10,15,19,50,3,10,3,14,8,12,7,17,1,2,3
91,InstantExpert,69,9,23,39,36,4,8,3,17,4,2,2,31,1,11,3,8,1,0,0
92,InsultBackfire,149,20,79,40,35,14,21,19,44,9,4,6,26,4,21,8,19,0,4,4
93,InterruptedSuicide,139,36,56,29,16,12,32,20,70,6,9,6,10,2,17,4,5,0,1,1
94,ItIsPronouncedTroPay,17,3,10,6,3,1,2,2,5,0,0,0,2,0,2,0,2,1,0,0
95,JerkJock,207,40,117,38,34,45,29,12,62,4,13,2,30,12,32,7,30,1,0,2
96,JiveTurkey,61,5,32,26,13,3,8,11,11,0,1,1,15,0,6,7,5,1,0,1
97,KickTheDog,977,97,269,293,200,179,258,155,400,66,74,49,156,12,126,22,86,11,41,17
98,LanguageOfLove,16,6,5,3,3,0,3,2,10,2,0,1,3,0,2,1,0,0,0,0
99,LearntEnglishFromWatchingTelevision,10,1,4,4,5,0,0,1,1,0,0,1,7,0,1,1,2,0,0,1
100,LethalChef,62,10,33,13,13,4,9,10,22,0,1,3,5,2,4,2,11,1,4,1
101,LoveAtFirstSight,238,107,112,31,37,16,28,20,130,9,10,6,21,6,40,16,31,1,5,3
102,MalaProper,40,8,31,7,7,1,1,9,9,0,2,3,7,0,7,1,4,1,0,1
103,Malaproper,98,17,68,14,19,5,5,18,25,0,4,5,11,1,12,5,14,2,0,2
104,Malapropism,39,8,30,7,7,1,1,9,8,0,2,3,7,0,7,1,4,1,0,1
105,ManicPixieDreamGirl,241,134,149,21,19,13,21,15,141,2,10,1,20,3,28,9,15,1,2,0
106,ManicPixieDreamGuy,95,68,66,4,5,1,6,5,59,0,1,0,7,1,8,4,5,0,0,0
107,ManicPixieDreamgirl,93,66,65,5,5,1,6,4,57,0,1,0,7,1,8,3,5,0,0,0
108,MeaningfulName,1029,132,370,296,197,164,247,141,406,23,99,42,199,21,148,32,91,13,30,13
109,MediumShiftGag,10,2,6,3,5,2,0,1,0,1,0,0,2,0,2,1,1,0,0,0
110,MessOnAPlate,6,1,4,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
111,MockingMusic,11,4,7,2,3,3,0,0,1,0,2,0,2,0,2,0,2,0,0,0
112,MundaneMadeAwesome,169,19,78,47,35,15,28,23,55,6,8,6,28,1,24,12,16,6,2,5
113,MyBelovedSmother,181,60,88,15,16,32,38,22,90,5,10,2,13,12,12,9,13,2,1,2
114,MyGirlIsNotASlut,56,22,25,9,3,7,10,4,26,3,4,2,1,0,2,5,1,0,2,0
115,NakedFreakOut,35,6,20,11,10,3,2,3,4,0,2,1,6,0,5,0,2,1,1,1
116,NakedFreakout,19,3,13,3,2,2,1,1,3,0,1,1,1,0,3,0,1,0,0,0
117,NewsTravelsFast,3,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
118,NoHoldsBarredBeatdown,366,23,80,155,72,33,117,116,151,14,27,12,56,11,35,5,13,3,16,4
119,ObstacleSkiCourse,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,OffBridgeOntoVehicle,18,1,3,10,5,1,9,3,6,0,4,0,3,0,2,0,0,0,1,0
121,OldShame,30,8,18,4,3,3,2,5,10,2,0,2,3,0,3,4,3,0,0,0
122,OneSceneWonder,54,5,24,15,9,6,7,7,19,4,3,6,8,0,4,2,4,2,2,0
123,OnlySaneMan,526,64,250,93,77,98,97,73,190,31,33,35,56,16,51,25,41,7,10,6
124,OverlyLongGag,195,25,146,53,35,18,17,28,35,2,9,4,32,5,25,11,24,2,9,4
125,Polyamory,44,18,19,7,4,1,5,4,22,4,1,1,3,3,3,1,0,2,2,0
126,PreviouslyOverlookedParamour,7,7,7,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
127,ProductPlacement,576,68,228,217,154,62,139,78,160,8,35,8,161,4,64,22,80,7,3,9
128,RayGun,24,2,9,10,6,5,4,2,3,0,1,0,20,0,5,1,0,0,0,0
129,ReverseHarem,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,RuleOfFunny,242,36,190,75,61,22,23,28,33,10,9,6,44,2,30,14,29,4,7,5
131,RunningGag,1111,199,677,276,235,92,150,171,331,26,73,32,147,26,124,64,127,10,37,15
132,ShamefulStrip,80,6,17,25,20,15,31,24,33,6,11,3,5,0,4,0,1,1,3,1
133,SiblingTeam,56,5,18,30,17,5,6,7,16,1,2,0,12,0,7,5,7,0,3,0
134,SpiritualSuccessor,560,75,198,133,94,91,129,96,229,29,35,28,89,13,59,22,42,16,17,4
135,StalkerShrine,50,6,18,18,13,12,20,10,10,0,7,0,10,0,6,1,2,1,1,0
136,StandardSnippet,56,10,25,13,10,2,9,6,29,4,1,4,10,0,10,3,8,0,2,1
137,StealthPun,324,31,154,125,100,42,55,40,70,5,19,7,88,4,66,15,39,1,5,6
138,StockShoutOut,33,4,6,7,8,6,7,3,16,1,2,2,9,0,3,0,3,0,0,0
139,StopMotion,43,3,16,7,16,11,2,2,5,0,1,0,11,3,12,0,13,1,0,5
140,StopMotionAnimation,18,2,8,4,7,3,0,1,1,0,0,0,4,1,5,0,7,0,0,2
141,SuddenlyVoiced,4,1,1,1,1,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0
142,SuicideAsComedy,30,7,24,2,5,0,1,1,8,0,0,0,2,1,6,1,3,0,0,0
143,SuperPersistentPredator,85,2,18,39,35,44,31,2,13,2,3,0,36,6,9,2,4,1,3,1
144,SuperpersistentPredator,40,1,8,18,19,22,15,2,7,1,2,0,18,2,2,1,2,0,0,0
145,TheAce,181,33,85,60,40,7,28,18,59,12,6,13,21,5,15,9,13,5,6,0
146,TheChewToy,82,13,64,13,13,8,8,13,15,0,4,2,8,0,8,4,10,0,3,2
147,TheDeterminator,169,16,48,54,34,13,39,32,78,22,15,16,18,3,13,4,11,3,10,2
148,TheEighties,345,48,131,90,73,46,63,39,133,9,24,7,79,8,40,29,23,7,0,6
149,TheMalaproper,39,8,30,7,7,1,1,9,8,0,2,3,7,0,7,1,4,1,0,1
150,TheStoner,148,17,87,21,19,37,22,14,44,1,22,0,18,4,14,11,5,4,2,1
151,TheTelevisionTalksBack,13,2,5,4,4,4,2,0,1,0,2,0,3,0,1,0,2,0,0,0
152,TheVoiceless,253,22,89,75,63,64,56,25,66,5,24,10,41,3,32,8,18,3,9,4
153,TheWorldMocksYourLoss,6,2,6,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
154,TitleDrop,1401,262,451,287,195,169,283,235,655,59,107,80,147,22,102,55,77,46,36,12
155,TotallyRadical,104,15,57,23,29,16,7,9,27,0,6,0,26,4,13,7,27,4,0,2
156,TranslationByVolume,16,3,7,5,4,0,3,3,6,0,2,1,3,0,2,0,1,0,1,0
157,TrashLanding,31,1,17,13,6,2,10,12,5,0,3,0,5,0,0,1,0,0,0,0
158,TroublingUnchildlikeBehavior,127,14,46,17,10,28,29,22,67,0,12,0,8,2,13,4,8,1,2,1
159,UnkemptBeauty,76,17,21,22,14,4,10,6,37,3,4,7,9,2,13,5,4,1,3,1
160,UnusualEuphemism,229,37,129,53,35,32,46,44,72,7,13,5,25,2,19,8,13,5,3,5
161,VanityLicensePlate,85,12,52,28,19,12,16,17,19,0,3,0,20,0,11,3,5,1,0,2
162,WrenchWench,52,6,20,22,13,5,11,7,13,0,6,2,16,0,4,2,5,0,2,1
163,YouMightRememberMeFrom,26,6,14,3,8,3,3,2,8,0,1,1,4,2,3,1,3,0,0,1
164, ADegreeInUseless,20,2,12,4,2,2,4,1,7,1,1,0,2,1,4,1,1,0,0,1
165,AHeroToHisHometown,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,AbstractScale,4,0,2,3,3,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0
167,AbsurdlyLongLimousine,4,0,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
168,AchillesInHisTent,23,0,7,16,15,0,1,2,6,1,0,4,8,0,3,2,0,0,0,0
169,ActionGirl,422,23,104,273,170,65,117,60,76,10,22,16,114,10,71,6,33,5,15,8
170,ActionPrologue,187,5,29,136,77,15,58,36,38,7,12,12,47,2,18,3,9,6,3,1
171,ActuallyPrettyFunny,223,23,95,78,66,18,30,35,80,12,13,9,40,1,32,9,34,1,5,5
172,AdaptationalDumbass,38,2,10,13,20,8,10,5,11,1,3,0,9,0,10,0,8,1,0,1
173,Aesop,15,2,8,4,5,2,4,3,1,0,1,0,5,1,2,0,3,0,0,1
174,AffectionateParody,157,21,118,60,28,20,20,32,16,1,14,2,24,4,26,16,17,2,7,2
175,AfricanTerrorists,12,0,2,10,4,0,4,1,3,1,0,3,3,0,1,0,0,0,0,0
176,AllGaysLoveTheater,10,5,8,2,1,0,0,1,7,0,0,0,0,0,1,1,1,1,0,0
177,AllGaysLoveTheatre,10,3,8,2,1,0,0,1,6,0,0,0,0,0,1,1,1,1,0,0
178,AllLoveIsUnrequited,65,19,29,9,14,9,4,4,27,2,6,2,10,3,10,8,10,0,2,1
179,AmericaSavesTheDay,70,1,11,45,25,10,19,2,16,5,5,8,35,0,5,1,1,2,1,1
180,AmericaTakesOverTheWorld,4,0,1,2,3,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0
181,AmericanRobot,6,0,2,5,5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0
182,AmericanTitle,22,2,10,4,1,4,3,4,10,0,1,1,2,0,1,0,0,2,0,0
183,AnAesop,311,59,144,60,59,32,44,31,133,13,16,10,50,16,71,15,53,3,1,3
184,AnalogyBackfire,48,11,28,15,9,3,6,1,19,5,1,7,10,2,1,0,3,0,2,0
185,AnchoredShip,7,2,3,4,3,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0
186,AnimatedMusical,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,AntWar,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,AntiHero,435,28,75,186,85,46,166,134,175,21,32,20,59,4,39,9,15,8,23,4
189,AntiHumor,4,0,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
190,AntiLoveSong,13,8,9,3,2,0,2,0,6,1,0,1,0,1,2,5,3,0,0,0
191,Anvilicious,44,7,14,13,10,3,10,5,25,1,3,2,11,2,4,0,5,1,1,2
192,AppliedPhlebotinum,88,4,32,27,31,13,23,3,15,1,8,2,60,3,10,4,10,1,0,2
193,ApprovalOfGod,43,4,13,23,20,5,5,2,9,1,1,1,17,0,8,2,6,0,1,0
194,ArtisticLicenceGeography,112,14,40,57,41,10,29,10,30,3,7,6,31,2,16,2,11,0,2,4
195,ArtisticLicenseGeography,252,25,82,122,87,21,59,29,75,12,13,20,64,4,29,4,24,1,11,7
196,AsLongAsItSoundsForeign,155,19,64,62,46,12,37,22,32,5,8,14,31,2,7,7,10,0,7,2
197,AsLongAsItsoundsForeign,63,5,28,26,22,2,16,5,17,3,3,7,14,0,2,4,6,0,4,0
198,AsLongAsitSoundsForeign,63,5,28,26,22,2,16,5,17,3,3,7,14,0,2,4,6,0,4,0
199,AsianSpeekeeEngrish,50,15,28,9,8,4,5,11,19,3,5,2,3,0,5,1,9,0,1,1
200,AssShove,116,11,67,35,22,20,19,25,22,2,7,3,12,0,17,5,7,1,5,2
201,AttackOfTheKillerWhatever,81,1,24,11,8,64,17,1,7,0,10,0,32,4,15,1,3,1,0,0
202,AttentionDeficitCreatorDisorder,36,3,9,15,10,6,13,10,8,0,6,1,7,0,8,2,3,0,1,1
203,AutobotsRockOut,50,2,17,38,29,8,9,3,4,1,2,1,17,0,11,1,1,2,0,0
204,AvoidTheDreadedGRating,135,8,53,28,42,20,20,12,48,7,17,0,30,0,20,3,33,2,1,5
205,BadExportForYou,15,1,5,8,6,4,1,2,4,0,2,0,8,0,2,0,2,0,0,0
206,BadGuyBar,75,9,25,33,20,7,21,26,24,1,6,1,13,1,5,1,5,1,2,1
207,BaitAndSwitchCredits,23,1,12,9,9,6,3,2,8,0,1,1,5,2,2,0,4,0,0,0
208,BalanceOfPower,4,0,1,1,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0
209,BarbieDollAnatomy,31,0,14,7,11,11,5,3,7,0,2,0,11,2,9,1,2,1,0,1
210,BeardOfSorrow,94,19,26,24,20,9,25,16,54,3,5,4,19,1,8,4,1,1,3,0
211,BerserkButton,854,88,360,249,162,101,179,174,309,37,53,29,108,17,97,40,79,10,27,16
212,BigBad,1982,92,490,916,471,523,591,338,470,47,173,51,396,47,282,36,174,29,55,31
213,BigDamPlot,21,0,4,17,13,1,7,1,9,2,0,3,4,1,3,0,3,0,0,1
214,BigDamnHeroes,641,41,192,300,213,134,154,77,163,23,45,28,148,16,100,11,73,8,20,8
215,BigNo,428,38,133,178,144,84,96,39,120,13,29,19,114,9,89,6,49,5,7,9
216,BlackAndGrayMorality,192,9,36,58,22,18,92,80,92,8,18,6,17,0,10,1,3,2,15,1
217,BlackComedy,563,52,283,123,74,130,129,104,202,15,41,17,80,7,73,12,22,4,13,8
218,BlackComedyRape,155,19,119,29,23,26,18,26,32,0,7,1,19,5,14,6,7,3,3,2
219,Blackface,64,13,38,7,7,1,5,6,26,4,0,6,3,2,4,7,2,1,1,0
220,BlatantLies,678,87,272,197,158,80,139,99,246,35,37,37,103,14,69,24,48,19,10,8
221,BlingBlingBANG,24,2,6,14,7,2,11,10,5,0,0,0,5,0,4,0,0,0,2,1
222,BlingBlingBang,43,2,13,30,14,4,17,12,8,0,0,3,7,0,8,0,2,0,6,3
223,BlingblingBang,24,2,6,14,7,2,11,10,5,0,0,0,5,0,4,0,0,0,2,1
224,BloodFromTheMouth,281,21,34,107,51,78,80,40,113,25,28,23,48,5,25,4,8,2,6,2
225,BookEnds,904,149,290,228,149,111,193,127,419,56,67,53,131,16,95,44,52,22,17,5
226,BoomHeadshot,416,12,70,210,76,89,167,128,132,24,30,30,72,4,28,1,5,5,25,6
227,BothSidesHaveAPoint,78,9,28,28,19,6,8,7,35,4,1,2,16,1,11,3,6,0,1,1
228,BreadEggsMilkSquick,130,13,74,24,23,15,20,23,40,2,6,3,21,5,15,10,12,1,0,1
229,BritishTeeth,11,1,7,2,4,0,1,3,2,1,0,2,1,0,3,0,2,1,1,1
230,BuffySpeak,119,17,64,35,45,14,11,12,32,2,10,1,36,0,25,3,13,1,1,2
231,BulletTime,80,3,22,60,36,9,18,13,12,1,4,3,27,0,15,1,4,1,1,2
232,ButNotTooGay,44,13,21,5,6,3,7,5,24,5,2,1,2,0,4,4,1,0,0,0
233,CaptainObvious,246,30,106,78,63,33,48,26,67,7,17,8,53,1,36,13,26,3,10,3
234,CastingCouch,47,10,20,3,4,8,6,6,25,0,5,1,1,1,1,3,2,0,0,0
235,CensorDecoy,18,0,8,3,3,0,4,3,7,0,4,0,3,0,0,0,0,1,0,0
236,CharacterDevelopment,428,82,198,101,97,35,57,39,181,18,18,14,67,16,67,24,62,2,15,3
237,ChaseScene,180,10,71,70,38,35,58,48,30,0,21,3,22,1,7,4,11,2,2,0
238,CleaningUpRomanticLooseEnds,33,19,18,7,9,2,2,2,13,1,0,1,1,1,4,3,4,0,1,0
239,ClicheStorm,68,11,16,35,34,4,21,5,16,0,5,3,26,0,10,2,2,0,2,1
240,ClusterFBomb,414,39,179,116,43,55,114,138,173,15,22,15,38,1,18,17,8,12,7,3
241,ComingAndGoing,16,3,6,3,2,8,4,1,4,0,1,0,1,0,3,0,0,0,0,0
242,CompletelyDifferentTitle,431,29,142,124,68,162,131,53,98,6,42,10,81,3,37,10,23,4,18,4
243,CompletelyUnnecessaryTranslator,10,0,3,7,6,0,2,1,3,0,0,0,1,0,2,0,0,0,0,0
244,ConflictBall,38,5,13,12,14,2,8,3,15,2,0,1,11,1,6,1,6,0,1,0
245,ContentWarning,51,1,12,9,17,8,6,4,19,4,4,2,9,3,13,0,9,1,1,0
246,ContentWarnings,59,1,15,10,16,12,9,6,22,4,4,2,9,3,13,1,9,2,1,0
247,ContrastMontage,38,5,6,7,6,2,6,6,18,4,1,5,4,0,1,3,3,5,0,0
248,CoolBoat,51,7,12,30,23,5,18,5,8,4,0,6,14,1,9,1,4,2,0,2
249,CoolCars,94,7,35,61,33,9,32,17,18,1,1,0,19,0,8,5,9,1,0,2
250,CoolChair,21,0,5,15,13,3,3,2,3,1,0,0,12,0,5,0,2,0,0,0
251,CoolPlane,97,5,12,68,49,4,25,4,26,7,4,14,38,0,8,0,5,3,0,3
252,CoversAlwaysLie,422,45,123,125,99,126,107,47,102,8,27,8,109,13,58,8,44,8,4,8
253,CreditsMedley,25,4,7,15,15,1,5,1,7,1,1,0,7,0,8,0,3,0,0,0
254,CreditsMontage,25,6,12,8,5,5,3,4,6,0,1,0,5,2,5,1,6,0,0,1
255,CruelAndUnusualDeath,401,12,55,138,73,176,153,69,97,13,62,17,83,3,35,4,5,8,11,3
256,CulturalCringe,5,0,3,2,1,0,1,1,3,1,1,0,0,0,0,1,1,0,0,0
257,CultureEqualsCostume,11,0,6,4,6,0,2,2,0,0,0,0,3,0,3,0,3,0,0,1
258,CurseCutShort,137,12,70,60,41,16,30,17,21,1,9,3,32,1,21,6,16,3,6,4
259,CutHisHeartOutWithASpoon,85,8,51,31,22,5,15,19,19,0,3,4,11,1,13,4,8,0,2,1
260,CuteKitten,41,5,13,12,8,7,8,5,14,1,3,3,5,3,6,1,5,1,1,1
261,CyanidePill,43,4,7,26,16,2,23,6,16,5,3,7,10,1,2,0,1,1,0,1
262,DarkReprise,132,32,49,42,40,18,15,9,40,6,5,4,34,6,26,16,17,0,1,2
263,DeadlyEuphemism,100,5,18,41,26,16,35,23,38,5,12,7,26,1,12,1,5,1,1,1
264,DeathGlare,322,37,102,112,87,39,68,36,123,21,19,14,47,4,42,9,29,5,15,5
265,DeconstructiveParody,73,6,56,24,13,13,12,16,14,0,9,2,11,1,11,1,4,0,5,2
