Trope,Description,Inverted?/Defied?,Averted/Subverted?,Rough Occurence in movie,Background?,Setups?,Start Time,End Time,Total Time
Adaptational Timespan Change," In the book, it's about seventeen years from Bilbo's farewell party to Gandalf's visit where the Ring-inscription is revealed, and a few more months before Frodo sets out on the Ring-quest. The film seems to condense the first interval to exactly as long as it takes Gandalf to make the trip to Minas Tirith and back, a few weeks or months, and Frodo sets out the next day.",,,,,,,,
Adapted Out," Tom Bombadil and his wife Goldberry, together with the Hobbits' entire ""Old Forest"" adventure. Glorfindel's role of rescuing Frodo from the Nazgûl and bringing him to Rivendell is given to Arwen. The Scouring of the Shire is absent from the films' canon, instead shown as a Bad Future .",,,,,,,,
Bad Future," of the Shire is absent from the films' canon, instead shown as a Bad Future .",,,,,,,,
Admitting to Fear," When Frodo is confronted by Stryder at The Prancing Pony, Stryder asks him if he's frightened. Frodo gives a sincere, ""Yes."" Stryder/Aragorn: Not nearly frightened enough. I know what hunts you.",,,,,,,,
Affectionate Gesture to the Head," Boromir pats Frodo during their attempted trek over Caradhras. After picking up the Ring, he gives it back to Frodo only after an order from Aragorn. He ruffles Frodo's hair to lighten the mood, but the Fellowship stays wary.",,,,,,,,
Age Cut," Averted when Elrond talks to Gandalf about an incident thousands of years in the past. We cut to a shot of Elrond in the past and he looks exactly the same, since elves are immortal .",,,,,,,,
Agony of the Feet," Averted when the other hobbits make a fire on Weathertop (inadvertently drawing the Nazgûl to them) and Frodo panics when he sees it and tries to put it out with his foot . Hobbits are stated to have tough soles in the book — basically their feet are their shoes, and they have a lot more fur on them than depicted in the film (the Rankin/Bass Productions animated adaptations do a much better job of what their feet are supposed to look like).",,,,,,,,
All There in the Script," In the theatrical cut of the movie, Galadriel's name only appears once, in an unclear context if you don't know it's her name (""I will diminish, and go into the west, and remain Galadriel""). The extended edition has Haldir introducing both Galadriel and Celeborn, and in The Hobbit Gandalf makes sure to namedrop her.",,,,,,,,
Always a Bigger Fish, The goblins have the party surrounded in the mines of Moria — until the Balrog makes its first appearance. They run for it. So does everyone else.,,,,,,,,
Animal Espionage," Saruman has crows that serve as spies, and one scene has The Fellowship take cover when a flock of crows fly overhead before we see them report in back at Isengard.",,,,,,,,
Annoying Arrows," Boromir manages to continue fighting even while pincushioned by arrows as thick as sausages. However, the scene is presented as his Last Stand ; he clearly knows he is dead after the first arrow, and is using Heroic Resolve to take as many orcs down with him as he can. Later, Pippin states, ""The mightiest man may be slain by one arrow, and Boromir was pierced by many.""",,,,,,,,
Armor Is Useless," Merry and Pippin take several heavily armored Uruk-hai down by throwing rocks at their heavily armored heads, and whether or not they're outright killed is never clarified.",,,,,,,,
Armor-Piercing Question," When Frodo is angrily musing that it's a pity Bilbo didn't kill Gollum when he had the chance, Gandalf points out that it was pity that stayed Bilbo's hand: ""Many that live deserve death. And some that die deserve life. Can you give it to them, Frodo?""",,,,,,,,
Arrow Cam," Features another ""point of view"" arrow shot.",,,,,,,,
Art Imitates Art, The designs for the Mines of Moria sets were inspired by the works of Venetian artist Giovanni Battista Piranesi and M.C. Escher .,,,,,,,,
Ash Face," Merry and Pippin, after setting off a firework at Bilbo's birthday party.",,,,,,,,
Attack! Attack... Retreat! Retreat!," A rare case of this trope Played for Drama , and definitely not a Tactical Withdrawal , happens after discovering the long-dead dwarves inside the West Gate of the mines of Moria. Boromir: We should never have come here. Now get out of here; get out! [cue attack by Watcher in the Water] Gandalf: Into the mines!",,,,,,,,
Attack the Mouth, Legolas kills the cave troll by shooting an arrow through its mouth into its brain.,,,,,,,,
Audience Murmurs," Played for Laughs when Bilbo is giving his farewell and says, ""I don't know half of you half as well as I should like and I like less than half of you half as well as you deserve."" This is straight out of the book where it describes the response as scattered applause with most of the audience working it out to see if it came out to a compliment. The movie conveys this reaction with mostly blank looks in the audience.",,,,,,,,
Award-Bait Song," The films have two sad examples: ""May It Be"" and ""In Dreams"". ""May it Be"" was nominated for an Oscar.",,,,,,,,
Badass Boast," ""I am a servant of the Secret Fire , wielder of the flame of Anor. The dark fire will not avail you, flame of Udûn! Go back to the shadow... YOU SHALL NOT PASS!""",,,,,,,,
Bad Future," The Scouring of the Shire from the books is turned into this in the film. Frodo is invited to look into the Mirror of Galadriel. He is shown a vision of the Shire being destroyed, orcs slaughtering other hobbits, the four (Merry, Pippin, Frodo and Sam) chained and forced to walk , being whipped by orcs. Galadriel tells Frodo that this is what will happen should he fail in his quest to destroy the Ring.",,,,,,,,
Bait-and-Switch," Played for drama: the film shows Saurons tower looking over Mordor below near the start of the first act; the tower depicted, however, is only a guard tower. The camera then pans across to show the actual tower of Barad-dur; and it's much, much bigger.",,,,,,,,
Beauty Is Never Tarnished," Frodo is badly stabbed on Weathertop, Boromir catches several arrows in his chest.",,,,,,,,
Behind a Stick," In the scene where the hobbits are hiding from a Black Rider, the Rider actually emerges from behind a tree instead of riding in from the right side of the screen as you would expect, despite said tree being too small to hide the Rider and his horse.",,,,,,,,
Behind the Black," Gimli claims he has ""eyes like a hawk"" but doesn't notice the squadron of elves with their arrows pointed at him.",,,,,,,,
Being Watched, Celeborn warns the Fellowship that they're being hunted by Orcs before leaving Lothlorien.,,,,,,,,
Big Badass Battle Sequence," The battle between the Last Alliance and Mordor in the prologue certainly counts. The Battle at Amon Hen is much smaller in scale, pitting the Fellowship against a small army of Uruk-hai, but it's still an extremely impressive action sequence.",,,,,,,,
Big Damn Heroes," During the Battle at Amon Hen, Merry and Pippin have lured the Uruk-hai away from Frodo but are surrounded on all sides when Boromir leaps in and intercepts the closest Mook with his bare hands.",,,,,,,,
"Big ""NO!"""," The film has two: Gimli has one when he discovers the tomb of Balin, which dissolves into mournful blubbering. Frodo also has one when Gandalf appears to die.",,,,,,,,
Black Knight," Sauron from the intro of the opening wears a huge suit of armour, roars monstrously, and swings a gigantic mace everywhere, sending scores of soldiers flying with each blow. He is modelled after his former master Morgoth from The Silmarillion , and the books ( or at least the appendix ) did mention him taking part in this particular battle personally, so at least it's fairly justified.",,,,,,,,
Black Speech," Gandalf uses it to dramatic effect in Imladris/Rivendell, complete with Empathic Environment . It also appears to cause elves such as Elrond and Legolas physical pain, as both wince at its usage.",,,,,,,,
Blade Lock," Aragorn's final confrontation with the Uruk-hai chief Lurtz begins with the two pushing their swords against each other for about two seconds, before Lurtz demonstrates his overwhelming strength by shoving Aragorn backwards into a tree.",,,,,,,,
Blatant Lies," Gandalf offers up a couple of them early on: Gandalf: A wizard is never late, Frodo Baggins, nor is he early, he arrives precisely when he means to. Gandalf: If you're referring to the incident with the Dragon, I was barely involved. All I did was give your uncle a little nudge out of the door.",,,,,,,,
Blood from the Mouth," When Aragorn is fighting Lurtz, the orc headbutts him in the face and his mouth is bleeding afterward.",,,,,,,,
Blowing Smoke Rings," Gandalf and Bilbo share some pipeweed. Bilbo blows a smoke ring, then Gandalf uses his magic to create a full-masted tall ship out of smoke, which he then ""sails"" through Bilbo's smoke ring.",,,,,,,,
"Boom, Headshot!"," Legolas shoots an Orc in the head while crossing the stairs in Khazad-Dum, with enough force that the arrow sticks in the pillar behind the Orc.",,,,,,,,
Bow and Sword in Accord," Aragorn uses both bow and sword, but he usually uses the bow only to open battle, staying in melee once it opens. The Uruk-hai captain (Lurtz) at the end also employs a bow/sword combo.",,,,,,,,
Bows and Errors," During the Moria sequence, a CGI shot of one of Legolas' arrows shows the arrowhead moving along a perfect arc to the target, while the shaft and fletching dangle and shake behind it at random.",,,,,,,,
Break His Heart to Save Him," Frodo tries to set off on his own, knowing his quest to Mordor will probably kill him and hoping the others will find a safer way to help save the world. Even when Sam catches up to him, Frodo first refuses to look at him and then explicitly commands him to return to shore. Sam ignores him, and Frodo ends up having to save him from drowning. Afterwards, he gratefully accepts that there's no way he's getting rid of him.",,,,,,,,
Breaking the Fellowship," The Trope Namer. Not all members of the fellowship meet together again, since one of them dies and one is irrevocably transformed in the interim. They manage eight of the original nine. Legolas: Hurry! Frodo and Sam have reached the eastern shore. [Aragorn stands still and says nothing.] Legolas: You mean not to follow them? Aragorn: Frodo's fate is no longer in our hands. Gimli: Then it has all been in vain! The Fellowship has failed. Aragorn: Not if we hold true to each other. We will not abandon Merry and Pippin to torment and death. Not while we have strength left.",,,,,,,,
Bring It," Witch-King: Give up the Halfling, she-elf. Arwen: [draws sword] If you want him... come and claim him!",,,,,,,,
Brutal Brawl," Gandalf discovers Saruman has joined forces with Sauron and a Wizard Duel erupts between the two of them. It's shown as a telekinetic staff fight, and without one laying a finger on the other the two wizards slam each other into stone walls and doors. The brutality is actually enhanced by the actors being elderly men. Aragorn's fight with the Uruk-Hai, Lurtz; a brief, nasty scuffle that features Aragorn getting his nose broken by a headbutt, Lurtz stabbed with a dagger, and finally Aragorn lopping off his arm and head.",,,,,,,,
Wizard Duel,"vers Saruman has joined forces with Sauron and a Wizard Duel erupts between the two of them. It's shown as a telekinetic staff fight, and without one laying a finger on the other the two wizards slam each other into stone walls and doors. The brutality is actually enhanced by the actors being elderly men.",,,,,,,,
Buffy Speak," Pippin during the creation of the Fellowship: ""You need people of intelligence in this kind of mission... quest... thing.""",,,,,,,,
Bugs Herald Evil," Insects and spiders come out of the woodwork in droves when the hobbits arrive to seek the ring, fleeing from the Nazgûl.",,,,,,,,
Bulletproof Vest," In the Mines of Moria, Frodo appears to be fatally stabbed by a cave troll, but soon after reveals that he's wearing an impenetrable shirt of mithril beneath his coat. This also happens in the book, though he is stabbed by an orc and suffers a greater injury from the impact: the mithril coat prevents him from being stabbed, sure, but the sheer force from the spear thrust still knocks him out, drives the rings of the mail coat into his body and badly bruises him. Frodo needed medical attention from Aragorn soon afterward or he would not have been able to keep up with the company in their journey.",,,,,,,,
Butterfly of Transformation, The white moth that brings giant eagles to the rescue when Gandalf is imprisoned at Orthanc.,,,,,,,,
Canon Foreigner," Lurtz, the Uruk-Hai leader, does not appear in the books; Boromir is killed by an anonymous Orc and his death goes unwitnessed, and Aragorn does not fight any of them. Lurtz was invented for the film to give the Uruk-Hai a face. His name is never spoken aloud in the theatrical release, and only appears in the end credits. However, in the Extended Edition, Lurtz's name is spoken by Saruman. Despite some initial fears that he was an entirely new character, he really wasn't much different from other ""generic Uruk-hai leaders"" already present in the book.",,,,,,,,
Carry a Big Stick, The movie has Big Bad Sauron wielding a mace big enough to knock half-a-dozen men into the air with every sweep.,,,,,,,,
Catch a Falling Star," Gandalf's escape from Isengard via Gwaihir Air Service. Also counts as a Suicidal ""Gotcha!"" .",,,,,,,,
Chase Stops at Water," The first Nazgûl the Hobbits meet pursues them to the Bucklebury Ferry, but quickly reins in his horse when Frodo jumps onto the barge. This is a hint at their supernatural nature; as undead, they hate crossing rivers . Later, Frodo (carried on a horse by Arwen) is again violently chased by Nazgûls, but because Arwen is able to reach the Bruinen River, the Nazgûls cannot pursue them further; Arwen then also magically summons the Bruinen River to literally wash the Nazgûls away.",,,,,,,,
crossing rivers,"the Hobbits meet pursues them to the Bucklebury Ferry, but quickly reins in his horse when Frodo jumps onto the barge. This is a hint at their supernatural nature; as undead, they hate crossing rivers .",,,,,,,,
Cliff Stack," A four-hobbit version occurs when they're fleeing from the Ringwraith and comes at the edge of a cliff. Of course, it's Sam who's the last stacker, and unwittingly pushes all the others down. Bonus points for Pippin nearly landing in some dung and Merry breaking his, er, carrot.",,,,,,,,
Combat Breakdown," After nearly three hours of epic High Fantasy swordplay, the final duel between Aragorn and the Uruk-Hai captain Lurtz devolves into a comparatively fast but extremely vicious physical brawl between the two of them stabbing, choking, punching, headbutting, and generally beating the absolute hell out of one another. It only ends when Aragorn cuts off his arm, stabs him in the chest up to Anduril's hilt, and finally cuts off the Orc's head.",,,,,,,,
Combat Tentacles," The Watcher in the Water, which wasn't clearly described in the book , is shown as a giant squid-like monster when it attacks the Company.",,,,,,,,
Come with Me If You Want to Live," Aragorn gets introduced this way in Bree, as a wilderness expert who can outrun the Nazgûl. More so in the film, since they set out that very morning after they outwit the Nazgûl ambush. In the film, Aragorn fits the trope to a T: Frodo: Where are you taking us? Aragorn: Into the wild . Merry: How do we know this Strider is a friend of Gandalf? Frodo: We have no choice but to trust him.",,,,,,,,
Comically Missing the Point," While on Weathertop, being chased by the Nazgûl, Frodo goes to sleep, only to wake up to the other hobbits cooking food. Frodo: What are you doing?! [meaning, Why are you lighting a fire when we have demonic ghosts chasing us?!] Merry: Tomatoes, sausages, and nice, crispy bacon.",,,,,,,,
Confusing Multiple Negatives," A botched translation of the movie has Saruman claim ""He can't not yet take physical form"" when referring to Sauron . The creator of the website showing the botched translation baffled over what the double negative meant before promptly giving up.",,,,,,,,
Consummate Storyteller," Bilbo is prone to regaling Hobbiton with tales of his adventures, such that at his 111th birthday party, we see a group of hobbit children gathered at his feet, listening with rapt attention to him recounting the tale of how three trolls had caught him and his dwarf companions, and were debating the best way to cook and eat them all.",,,,,,,,
Continuity Nod," In Elrond's council, there's the symbol of an eight-pointed star on the ground in front of his seat. In The Silmarillion , Elrond was reared by two Fëanorians, whose symbol was an eight-pointed star.",,,,,,,,
Convenient Escape Boat," This is done somewhat when the Nazgûl are chasing the hobbits — and the hobbits pull off in the ferry, before Frodo even gets there. Naturally, Frodo has to jump for it — and makes it... just in time. (In the book, it was nowhere this dramatic; the Nazgûl follows them to the river, but is unseen until long after they've pulled off.)",,,,,,,,
Conveniently Timed Attack from Behind," Lurtz (the Uruk-Hai captain) is about to finish off Boromir when Aragorn appears to fight him off. It's too late for Boromir, though.",,,,,,,,
Courtly Love," Gimli, almost immediately after seeing Galadriel. When she is bestowing gifts on the fellowship prior to their departure, all he requests is a strand of her golden hair . She gives him three .",,,,,,,,
Creative Closing Credits, They contain the names of every single member of the Tolkien fan club in the special edition.,,,,,,,,
Creator Cameo," The prologue has cameos by: Senior prosthetics supervisor Gino Acevedo and prosthetics technicians Rich Mayberry and Xander Forterie as three of the seven Dwarf Lords who receive Rings of Power; Concept artists John Howe and Alan Lee play two of the Nine Kings; and Weta production worker Ben Britton and pre-viz storyboard shader Jason Secto play elves fighting in the Last Alliance. Peter Jackson in a blink-and-you'll-miss-it appearance as ""Albert Dreary"" (a man eating a carrot) when the hobbits arrive in Bree. The hellish screeching noises made by the Ringwraiths were delivered by Fran Walsh, co-writer, producer, and Peter Jackson's partner.",,,,,,,,
John Howe,e has cameos by: Senior prosthetics supervisor Gino Acevedo and prosthetics technicians Rich Mayberry and Xander Forterie as three of the seven Dwarf Lords who receive Rings of Power; Concept artists John Howe and Alan Lee play two of the Nine Kings; and Weta production worker Ben Britton and pre-viz storyboard shader Jason Secto play elves fighting in the Last Alliance.,,,,,,,,
John Howe,ists John Howe and Alan Lee play two of the Nine Kings; and,,,,,,,,
Creepy Centipedes, A centipede and some spiders appear for added creepiness when the hobbits are hiding from the first Black Rider. Although they're less creepy in themselves as it's more like the bugs are trying to get away from the Ringwraith.,,,,,,,,
Creepy Crows," Like in the book, ravens and crows are generally an ill omen. The ""crebain from Dunland"" that Legolas sees near the Misty Mountains are servants of Saruman, reporting on the position of the Fellowship for him. Gandalf: The Enemy has many spies... beasts, and birds...",,,,,,,,
Crucified Hero Shot, Gandalf adopts this pose when pulled off the bridge by the falling Balrog.,,,,,,,,
Cruel to Be Kind," After their narrow escape from the Mines of Moria, most of the Fellowship is extremely distraught at the loss of Gandalf and stop just outside the exit to mourn. However, Aragorn orders Boromir to get them on their feet and continue the journey, answering protests of not giving them a moment by noting that by nightfall, the whole area will be crawling with Orcs fully intent on killing them or worse, and the Fellowship must get to safety before dusk.",,,,,,,,
Cut Apart," The movie has closeups of sleeping hobbits mixed with Ringwraiths surrounding the beds. When the stabbing begins, we discover the beds are empty and the hobbits in another room.",,,,,,,,
Deadly Nosebleed, Gandalf sports one of these during his battle against the Balrog.,,,,,,,,
Death Is Such an Odd Thing," Orlando Bloom said in the commentaries for the extended edition that this is what he was trying for, when the camera had its closeup on his face in the One-Woman Wail montage after Gandalf fell: he was coming to grips with what death was, as an elf whose only experience with it previously had been seeing enemies die in battle.",,,,,,,,
Death of a Thousand Cuts, How the Fellowship kills the cave troll in Moria .,,,,,,,,
Deathly Dies Irae," ""Dies irae"" appears in the score as Bilbo's ring tempts him one last time before he leaves the Shire. It weighs heavily on him as he slowly tips his hand to let it fall to the floor, right after it has been made clear that there is something dangerous about it and it is likely the One Ring. Heard again as the Ringwraiths corner the hobbits at Weathertop. Also reoccurs as part of the motif for the forces of Isengard.",,,,,,,,
Defeat Equals Explosion," Sauron explodes with the force of a tactical nuke after Isildur cuts the ring from his hand in the prologue of the movie, flooring basically everyone across the battlefield with the shockwave.",,,,,,,,
Deliberate Injury Gambit," In a villainous version, the Uruk-Hai leader is impaled on Aragorn's sword, and pulls himself up the blade to get up in his face and snarl. Aragorn promptly yanks the sword back out and lops off his head.",,,,,,,,
Delicious Distraction," During the extended version opening of the movie (well, second opening; during the Concerning Hobbits scene), a hobbit-maid is about to kiss her hobbit-lover, who is distracted by a basket of muffins going around and eats it instead. At the exact same moment, Bilbo narrates that ""a Hobbit's only true love is for food.""",,,,,,,,
Depth of Field," A faked long depth-of-field is accomplished by putting a prop ring the size of a plate in the foreground. That way, the One Ring lying in the snow appears in as much sharpness as the stuff in the background.",,,,,,,,
Digital Head Swap, One of the techniques used to create the proper scale for the Hobbits.,,,,,,,,
Disapproving Look," There's a two-fer early in the film as Gandalf is riding into the Shire with Frodo, who is explaining how Gandalf has come to be labeled a ""disturber of the peace"" while an old Hobbit sees them and gives Gandalf a very disapproving look. Then the children of the Shire see him and come running, Gandalf setting off some fireworks to delight them. The old Hobbit watches them cheering with a boisterous laugh, then stops as his wife comes out and give him her own disapproving look.",,,,,,,,
Distant Prologue," The movie starts with Galadriel narrating several crucial events leading up to the series. These include the creation of the Rings of Power (c. 4900 years ago), the War of the Last Alliance (c. 3000 years ago), and Bilbo Baggins taking the One Ring from Gollum (60 years ago). It then cuts to Bilbo's 111th birthday party and his departure for Rivendell, leaving Frodo and the One Ring behind, which happened a decade before the film proper begins.",,,,,,,,
Doing Research," After Bilbo leaves the Shire, Gandalf already has suspicions about the magical ring transmitted to Frodo. The Wizard is next seen doing historical research to learn more about the One Ring, notably the story of Isildur, to confirm those suspicions.",,,,,,,,
"Don't Ask, Just Run"," Gandalf says this when the Fellowship encounters the Balrog in Moria, sparked by ominous roaring and a creeping orange glow that makes the horde of goblins surrounding them run like hell. Gandalf's only explanation is ""This foe is beyond any of you. RUN!"" And, of course, just before he falls into the chasm: ""Fly, you fools!""",,,,,,,,
"Don't Touch It, You Idiot!"," While the gang is deep in the mines of Moria, Pippin the Hobbit innocently fiddles with an ancient suit of armour... Gandalf reacts appropriately.",,,,,,,,
Downer Ending," The Fellowship breaks in the end. Gandalf falls to his apparent doom, Boromir is killed, and Frodo and Sam have to journey into Mordor alone while Aragorn, Gimli and Legolas have to save Merry and Pippin from Saruman's Uruk-Hai.",,,,,,,,
Dramatic Necklace Removal," Isildur does this in order to get the One Ring off the chain around his neck and onto his finger when he was ambushed near the start of the movie. It's justified since he was under attack and therefore in a bit of a hurry, though there are the numerous other times somebody yanked the One Ring free of its chain.",,,,,,,,
Draw Aggro," Merry and Pippin call out to the Uruk Hai to distract them from Frodo's hiding place. Pippin: It's working! Merry: I know it's working, RUN!",,,,,,,,
Dug Too Deep," According to Saruman, the Dwarves of Moria did this, unleashing the Balrog .",,,,,,,,
The Dulcinea Effect, Gimli goes from describing Galadriel as a wicked sorceress to pledging himself as her Knight In Shining Armour within days of meeting her.,,,,,,,,
Dungeon Bypass," Averted; the Fellowship tries to go around Moria via a mountain pass, but Saruman awakens the mountain of Caradhras, causing an avalanche of rocks and snow that blocks their way, causing our heroes to have to backtrack and go through Moria anyway.",,,,,,,,
Ear Ache," After Merry and Pippin set off one of Gandalf's fireworks without his permission, he lifts them up by the pointy tips of their ears and glares down at them like they are misbehaving children.",,,,,,,,
Early-Bird Cameo," Inverted. Rohan appears briefly in the first book, establishing that the nation will enter the plot in the second. Played straight with Minas Tirith, Osgiliath and Minas Morgul. All three cities make brief appearances in this film during the ""Account of Isildur"" sequence (literally a split second in Osgiliath's case during the establishing shot of the Gondor-Mordor border) before becoming much more important in The Two Towers (albeit for Osgiliath, especially in the Extended Edition) and The Return of the King . Musical example with the Gondor Leitmotif in the case of the Extended Edition. The theme makes a brief early appearance during the Council of Elrond sequence (when Bormoir speaks of how Gondor and Denethor’s sacrifices have kept the West safe). It'll go on to reappear briefly in the Extended Editon of The Tower Towers (during the flashback to Bormoir and Faramir retaking Osgiliath) before finally taking center stage during The Return of the King .",,,,,,,,
Leitmotif,mple with the Gondor Leitmotif in the case of the Extended Edition. The theme makes a brief early appearance during the Council of Elrond sequence (when Bormoir speaks of how Gondor and Denethor’s sacrifices have kept the West safe). It'll go on to reappear briefly in the Extended Editon of The Tower Towers (during the flashback to Bormoir and Faramir retaking Osgiliath) before finally taking center stage during The Return of the King .,,,,,,,,
Early Installment Character-Design Difference, Downplayed. The designs of Gollum and the Eye of Sauron aren't quite as polished as in the next two films.,,,,,,,,
Establishing Character Moment," Quite a few. Sam telling Frodo the promise he made to Gandalf in the beginning. (""Don't you lose him, Samwise Gamgee!"") Merry and Pippin's mischief at Bilbo's birthday party. Boromir instantly suggesting the Ring be turned over to Gondor to use against Sauron. Legolas defending Aragorn against Boromir. Gimli grabbing an axe and attempting to destroy the Ring right at the council. Saruman chastising Gandalf for consorting with Hobbits. Lurtz chokes the first orc he sees within seconds of his birth. Gandalf arriving in Hobbiton for Bilbo's birthday party. All the children are excited to see him , while the adults look on disapprovingly (for the most part, one Hobbit laughs at a miniature fireworks display only to frown when his wife appears.) The first glimpse of the Lady Galadriel (other than the flash of her eyes that Frodo sees when he hears her voice in his mind) is her descending the stairs in Caras Galadhon with Celeborn in a blinding, majestic aura of white light. 'The Lady of Light', indeed!",,,,,,,,
All the children are excited to see him,"birthday party. All the children are excited to see him , while the adults look on disapprovingly (for the most part, one Hobbit laughs at a miniature fireworks display only to frown when his wife appears.)",,,,,,,,
Everybody Cries, The entire Fellowship cries after losing Gandalf.,,,,,,,,
Evil Sounds Deep," The Uruk-Hai captain Lurtz has a very deep voice, as do other orcs, when they're not given shrill, raspy voices.",,,,,,,,
Evil Tower of Ominousness," The (original) Dark Tower, Barad-dûr. It's actually depicted as under construction; the completed tower itself is first seen at the end of the film, from the Seat of Amon Hen.",,,,,,,,
Extreme Close-Up, Galadriel's intro scene frequently cuts right up to Galadriel's eyes and then cuts back to the eyes of a member of the Fellowship. This is a visual adaptation of the narration from the book which makes clear everyone in the Fellowship felt Galadriel's eyes piercing into their soul.,,,,,,,,
Fade to White," Used when Frodo first sees Arwen and later Elrond, when he's dying from the Morgul blade.",,,,,,,,
Fake Shemp," When Bilbo finds the Ring at the start of the movie, Gollum cries out, ""My precious!"". However, Andy Serkis was not on set that day, so Dominic Monaghan stood in for him.",,,,,,,,
Fanfare, The fellowship theme.,,,,,,,,
Fatal Fireworks," There's a comedic, non-fatal example: at Bilbo's birthday party, Pippin and Merry steal and launch one of Gandalf's firework rockets, ending up with an Ash Face .",,,,,,,,
Fear Is the Appropriate Response," Gandalf doesn't just inform the other characters that the Balrog is unstoppable. He calmly explains what a Balrog actually is while it's coming at them (it wasn't even in visual range), pauses to take a deep breath, looks shaken, and then shouts... ""RUN!"" and takes off ahead of the others, while they are still standing there looking at it. Making an about-face in the process.",,,,,,,,
Final Battle," The attack in Amon Hen, where Saruman's Uruk-Hai ambush the Fellowship of the Ring. Aragorn manages to behead the Uruk leader Lutz, Boromir dies, Frodo and Sam flee separately and Merry and Pippin are taken away by the Uruks, which breaks the Fellowship .",,,,,,,,
Final Speech," While Boromir had some last dying words in the book, they really spice it up in the film, especially with Boromir's last line to Aragorn: ""My brother, my captain, my king"".",,,,,,,,
Finger Extinguisher, Aragorn puts out a flame with his bare hand at the Prancing Pony when taking Frodo away for a private discussion.,,,,,,,,
Fire-Forged Friends," Gimli and Legolas probably count as Trope Codifiers. They openly hate each other at their first meeting (Gimli: ""Never trust an elf!""), but by the end of the final film, they are inseparable. (Excerpt from The Return of the King ) Gimli: Never thought I'd die fighting side by side with an Elf. Legolas: What about side by side with a friend? Gimli: ...aye. I could do that.",,,,,,,,
Flaming Sword," The Balrog has one of these, along with a fiery whip .",,,,,,,,
