,Topic,Count,Name,Representation,Representative_Docs
10,9,80,9_crying_emotionally_movie_feel,"['crying', 'emotionally', 'movie', 'feel', 'movies', 'cried', 'heartbreaking', 'nonstop', 'speeches', 'minutes']","['Have you ever experienced a movie so masterly crafted, so emotionally draining, it simply leaves you numb?Fanny och Alexander did that to me. Even after over 5 continuous hours, I was just sitting there motionless.My mind left blank, my mouth wide open, my eyes staring at nothing. For minutes.Ingmar Bergman, I salute you.', 'Have you ever experienced a movie so masterly crafted, so emotionally draining, it simply leaves you numb?Fanny och Alexander did that to me. Even after over 5 continuous hours, I was just sitting there motionless.My mind left blank, my mouth wide open, my eyes staring at nothing. For minutes.Ingmar Bergman, I salute you.', 'I’M LITERALLY SOBBING BECAUSE OF HOW BEAUTIFUL THIS MOVIE IS IT WILL NEVER BE OVERRATED OR WHATEVER SOME OF YALL STUPID BITCHES CALL IT IT’S LITERALLY ONE OF THE MOST LIFE CHANGING THINGS I HAVE EVER EXPERIENCED AND IT GETS BETTER EVERY TIME I WATCH IT HOW CAN A FILM MAKE ME FEEL SO MANY INTENSE EMOTIONS AND SO FULL OF HOPE THAT I’M LITERALLY FUCKING CRYING BECAUSE OF HOW HOPEFUL IT MAKES ME FEEL AND THE SCENE WHERE ANDY…']"
11,10,78,10_cabiria_fellini_giulietta_masina,"['cabiria', 'fellini', 'giulietta', 'masina', 'fellinis', 'masinas', 'nights', 'cabiriais', 'federico', 'prostitute']","['Such a wonderful film! I hadn\'t watched Fellini\'s masterpiece ""Nights of Cabiria"" in over 20 years. But it\'s still captivating and is deeply moving as a portrayal of human resilience. It\'s also hard to separate the film from the stellar performance by Fellini\'s wife Giulietta Masina.Far from the stereotyped and overdone ""prostitute with a heart of gold"", Masina\'s Cabiria is someone who knows the pain of being knocked down and bruised. But she always dusts herself off and gets…', ""What could be more perfect than Giulietta Masina's performance in this film?"", 'Giulietta Masina.']"
12,11,78,11_faith_religious_ordet_carl,"['faith', 'religious', 'ordet', 'carl', 'dreyer', 'beliefs', 'atheist', 'theodor', 'god', 'religion']","['Thou man of faith, who himself lacks faith.People believe in dead Christ,But not in the livingThey believe in miracles 2000 years ago.But they do not believe me now.This movie talks about the relation of faith and religion, and how the society consider their faith as a miraculous object.Belief is an important part of human life, and it is belief which guides most part of human decisions. Also it is the belief, which creates rifts…', 'ORDET : THE WORDBut what word? God? Faith? Love? Rebellion?""I believe a lot of little miracles happen secretly.""- Inger BorgenOh boy. Faith sure is a complicated and mysterious thing.Ordet asks many questions but does not try to provide clear answers, for there are none. If we knew the answers to the many questions of faith, perhaps the people of this world would not be in the mess they are in? This is not a religious…', 'Ordet (The Word) is a phenomenal religious film that speaks of a lot of questions about religion. Based on the play by Kaj Munk, Ordet tells the narrative of a family of the three sons of the Danish farmer in which the family are being torn apart by their exceedingly disparate religious beliefs and their opinions on faith as the middle child of the three brothers Johannes proclaims that he is Jesus Christ, which he delusional mocks himself as Jesus…']"
13,12,75,12_mark_lonely_prejudice_world,"['mark', 'lonely', 'prejudice', 'world', 'understand', 'backthere', 'mend', 'heart', 'inspire', 'obscures']","['""How do you pick up the threads of an old life? How do you go on, when in your heart, you begin to understand, there is no going back?\xa0There are some things that time cannot mend. Some hurts that go too deep… that have taken hold.""', ""“I always had hopes of being a big star. But as you get older, you aim a little lower. Everybody wants to make an impression, some mark upon the world. Then you think, you've made a mark on the world if you just get through it, and a few people remember your name. Then you've left a mark. You don't have to bend the whole world. I think it's better to just enjoy it. Pay your dues, and just enjoy it. If you shoot a arrow and it goes real high, hooray for you.”"", '""Everyone wants to leave something behind them -- some impression, some mark upon the world. I think you left a mark on the world if you just get through it and a few people remember your name. Then you left a mark. You don\'t have to bend the whole world, I think it\'s better to just enjoy it. Pay your dues, and enjoy it. If you shoot an arrow and it goes real high, hooray for you.""The pressure to be complacent and the pressure to shatter everything to rise above really are both killers. We\'ve just got to stick together, God knows what\'s next.']"
14,13,71,13_carry_iamnoman_oldboy_thishouse,"['carry', 'iamnoman', 'oldboy', 'thishouse', 'welove', 'alrighty', 'likeyou', 'clawd', 'na', '2003']","['(•_•) I CAN’T( •_•)>⌐■-■ CARRY IT(⌐■_■) FOR YOU┓┏┓┏┓┃┛┗┛┗┛┃＼○／┓┏┓┏┓┃ / \xa0BUT┛┗┛┗┛┃ノ) \xa0I CAN┓┏┓┏┓┃ CARRY YOU┻┻┻┻┻┻', '(•_•) I CAN’T( •_•)>⌐■-■ CARRY IT(⌐■_■) FOR YOU┓┏┓┏┓┃┛┗┛┗┛┃＼○／┓┏┓┏┓┃ / \xa0BUT┛┗┛┗┛┃ノ) \xa0I CAN┓┏┓┏┓┃ CARRY YOU┻┻┻┻┻┻', '(•_•) I CAN’T( •_•)>⌐■-■ CARRY IT(⌐■_■) FOR YOU┓┏┓┏┓┃┛┗┛┗┛┃＼○／┓┏┓┏┓┃ / \xa0BUT┛┗┛┗┛┃ノ) \xa0I CAN┓┏┓┏┓┃ CARRY YOU┻┻┻┻┻┻']"
15,14,69,14_wars_star_yoda_empire,"['wars', 'star', 'yoda', 'empire', 'luke', 'strikes', 'darth', 'vader', 'leia', 'han']","['💯100%Star Wars list- ClickHERE“Empire Strikes Back” is everything we want, need and love about Star Wars. It drastically changes the formula of what was established to be this franchise from “A New Hope.” Does this sound similar to another modern Star Wars film? The difference here is the fact that Empire executes on every single storyline, whereas “The Last Jedi” may fumble on one or two. It’s still funny how many similarities there are between the two…', 'Yeah, probably still the best Star Wars movie ever made...Star Wars Ranked', 'They will never make a better Star Wars film than this.']"
16,15,68,15_barry_lyndon_kubrick_kubricks,"['barry', 'lyndon', 'kubrick', 'kubricks', 'stanley', '18th', 'ryan', 'lyndonis', 'century', 'clockwork']","[""Barry Lyndon is a fascinating period epic about the mysterious hands of life. Its 3-hour runtime turns out to be a non-issue thanks to an absorbing script and an affecting performance from Ryan O'Neal.It's safe to say that every frame of Barry Lyndon qualifies as an oil painting. With astonishing cinematography, it tells the rise and fall of the titular character, an Irish nobody who ate more than he could chew. Divided into two chapters, Barry Lyndon feels like…"", 'Barry Lyndon: Children EditionThis film felt similar to Barry Lyndon in regards to the storyarche of the father. In the case of Barry Lyndon we follow the viewpoint of the father and in Fanny and Alexander we follow the viewpoint of the son.Both films have great production designs and well developed characters; with a slow three hour pace that leads to an intense showdown at the end. The last 30 minutes of this film is intense and gripping…', 'Barry Lyndon: Children EditionThis film felt similar to Barry Lyndon in regards to the storyarche of the father. In the case of Barry Lyndon we follow the viewpoint of the father and in Fanny and Alexander we follow the viewpoint of the son.Both films have great production designs and well developed characters; with a slow three hour pace that leads to an intense showdown at the end. The last 30 minutes of this film is intense and gripping…']"
17,16,68,16_oneal_tatum_bogdanovich_addie,"['oneal', 'tatum', 'bogdanovich', 'addie', 'ryan', 'peter', 'moon', 'paper', 'moonis', 'moze']","[""83The relationship between Ryan O'Neal and Tatum O'Neal is so effortlessly charming inPaper Moon. Besides the obvious influence of their real-life father/daughter dynamic, it's clear that their banter and humor is informed by an authentic experience, no matter how different it is from any depiction of the Great Depression. That balance of sharp wit and underlying sadness makes for one hell of an emotional movie, especially when considering Peter Bogdanovich's craft behind the camera. Having László Kovács as…"", 'Among Peter Bogdanovich’s 70’s gems. We’re plumbed right inside the Great Depression 1930’s within the Midwest states, and it never breaks that dust bowl spell. Addie Loggins (Tatum O’Neal) is a 9-year old girl at a gravesite who has just lost her mother, and con man Moze (Ryan O’Neal) has arrived to try and squeeze money out from the man who accidentally killed Mrs. Loggins. Addie gets wind of this shake. Instead of taking the next train to go live…', ""Peter Bogdanovich followed up his 1972What's Up, Doc?with this tribute to the screwball comedies of the 1930s, especially those of Howard Hawks. It follows Moses Pray (Ryan O'Neal) and nine-year-old Addie Loggins (Tatum O'Neal), two petty criminals that team up during the Great Depression and masquerade as Bible sellers to con widows out of small amounts of cash. Drawn from Joe David Brown's bestselling novelAddie Pray, it's a charming and entertaining movie as the pair, father and daughter in real…""]"
18,17,66,17_keaton_buster_sherlock_keatons,"['keaton', 'buster', 'sherlock', 'keatons', 'jr', 'silent', 'detective', 'stunts', 'projectionist', 'gags']","['buster keaton A CUTE', '""As a detective he was all wet"" - Narration Cards.Is Buster Keaton hot? I think so.This is only my second Buster Keaton and I didn\'t really like the first (The General). Sherlock Jr., however, is an inspiring movie that pushes the boundaries of what people found possible in film at the time, especially in comedy. I love the gag with the pool table and when Keaton goes inside of the movie... it\'s all brilliant. I was able to…', 'Buster Keaton is just as genius as Sherlock']"
19,18,63,18_nicholson_cuckoos_jack_nest,"['nicholson', 'cuckoos', 'jack', 'nest', 'flew', 'devito', 'ratched', 'mcmurphy', 'danny', 'nurse']","[""i seriously can't get over how hot jack nicholson is in this movie"", ""One Flew Over the Cuckoo's Nest is astonishing, impeccable, incredible, engaging to the highest order, brilliant, and every other synonym you can think of.Jack Nicholson delivers his best performance of all time as a Korean War veteran who fakes insanity to get out of a hard labor prison, which rightfully earned him an Oscar.Equally hopeful as it is heartbreaking, Nicholson rallies the mental health patients to rebel against the dictator-like Nurse Ratched (played by Louise Fletcher who happened…"", 'jack nicholson looks way too hot in this movie']"
20,19,63,19_ending_endings_twist_highalso,"['ending', 'endings', 'twist', 'highalso', 'onescene', 'aired', 'jaw', 'sour', 'end', 'especially']","['The weak link of the trilogy, but not by a far margin. Luckily the “you bow to no one”scene is so compelling, the 30 endings after that don’t completely sour that high.Also, I’m still convinced Frodo forgot Legolas’s name at the end.', ""This expanded edition includes never before seen deleted scenes only aired on television. Director Peter Jackson's handpicked extras include scenes that deepen the rich mythology of the setting, emphasize the major themes, and add at least $30 to the price of the DVD set. It was a little disappointing that Jackson felt the need to shoehorn Legolas in, but the performance outweighs the obvious favoritism--all of the performances here are superb. Especially appreciated was the inclusion of an especially angry interaction between the bishop and two members of the Eckdahl family that fleshed out the conflict between Sauron and the elves. Read my original thoughtshere."", ""This expanded edition includes never before seen deleted scenes only aired on television. Director Peter Jackson's handpicked extras include scenes that deepen the rich mythology of the setting, emphasize the major themes, and add at least $30 to the price of the DVD set. It was a little disappointing that Jackson felt the need to shoehorn Legolas in, but the performance outweighs the obvious favoritism--all of the performances here are superb. Especially appreciated was the inclusion of an especially angry interaction between the bishop and two members of the Eckdahl family that fleshed out the conflict between Sauron and the elves. Read my original thoughtshere.""]"
21,20,63,20_tell_crying_cried_bitch,"['tell', 'crying', 'cried', 'bitch', 'bitches', 'entirety', 'fuck', 'wholl', 'scream', 'fucking']","['why the fuck am i crying', 'Tell me why tell me why tell me why Tell me why tell me why tell me why Tell me why tell me why tell me why Tell me why tell me why tell me why Tell me why tell me why tell me why Tell me why tell me why tell me why Tell me why tell me why tell me why Tell me why tell me why tell me why Tell me why tell me why tell me…', 'why the fuck am i crying']"
22,21,63,21_resistance_french_melville_melvilles,"['resistance', 'french', 'melville', 'melvilles', 'army', 'shadows', 'jeanpierre', 'wwii', 'occupation', 'shadowsis']","[""Army of Shadows(L'Armée des ombres) is a masterclass in cinematic tension and moral ambiguity, directed by the legendary Jean-Pierre Melville. Set in Nazi-occupied France during World War II, the film offers a haunting exploration of the French Resistance, showcasing the sacrifices and ethical dilemmas faced by those who dared to oppose tyranny.\xa0Melville, known for his minimalist style and meticulous attention to detail, crafts a narrative steeped in atmosphere and introspection. The film follows a group of Resistance fighters, including…"", ""Army of Shadows depicts the efforts of the French Resistance during the Nazi occupation of France. The film is based on the book by Joseph Kessel, which is partly based on true events. This is a slow paced but very personal portrayal of the Resistance. It's a film about people trying to do what they think is right, because there's no other choice. Like many of Jean-Pierre Melville's films, this one has a real sense of fatalism about it and…"", 'Army of Shadows is a 1969 war drama film based on the book of the same name by Joseph Kessel and loosely based on the true story of French Resistance members who fought against the Nazis in World War II. Both Joseph Kessel and Jean-Pierre Melville joined the French Resistance during World War II, so this film is more like Jean-Pierre Melville expressing his views and feelings about being in the French Resistance during World War II through this film…']"
23,22,63,22_kurosawa_kurosawas_akira_samurai,"['kurosawa', 'kurosawas', 'akira', 'samurai', 'hitchcock', 'procedural', 'seven', 'beard', 'engaged', 'tense']","['This is definitely the best Kurosawa I’ve seen so far. Don’t get me wrong, his samurai stuff is great but these are the films I really love. A great crime drama with a Hitchcock vibe. You get the whole shabang. The crime, the investigation and then the motive at the end. Suspense was built so well and I loved how he just dragged out scenes just that little bit longer. It was hard not to be engaged in the plot with the fast moving dialogue and great performances. Kurosawa doesn’t just do samurai films, he can do it all!', 'Akira Kurosawa movies ranked:boxd.it/cOTI2This is what many seem to consider as Akira Kurosawa’s masterpiece, and even though I can see why, I just didn’t fully connect with the movie.The movie is 3.5 hours long, which obviously is a long time, but the pacing was pretty good, so it never got boring. Some parts were maybe a bit lengthy but it wasn’t bad enough for me to be too bothered by it.The characters were all great and…', 'Oh so no THIS is the best Kurosawa movie']"
24,23,62,23_eve_bette_davis_margo,"['eve', 'bette', 'davis', 'margo', 'harrington', 'channing', 'anne', 'actress', 'eveis', 'joseph']","['A New Year’s Eve (eve eve eve) must watch', 'for being all about eve, i sure couldn’t take my eyes off bette davis', 'It is all about Eve']"
25,24,62,24_ozu_tokyo_ozus_children,"['ozu', 'tokyo', 'ozus', 'children', 'parents', 'visit', 'yasujir', 'hara', 'setsuko', 'noriko']","['Another thoughtful, tender masterpiece from Yasujirō Ozu, this time focusing on the relationship between aging parents and their busy children. Though this is very much set in 1950s Japan, its lessons are universal and still recognisable today. Ozu brings us his cast of regulars, including the marvellous Setsuko Hara, playing Noriko – the third character of that name she played in Ozu’s films – making this the third of his ‘Noriko Trilogy’ followingLate Spring(1949) andEarly Summer(1951).…', '東京物語(Tokyo Story) from 1953 may be Yasujirō Ozu’s masterpiece alongside晩春(Late Spring) which he made a few years prior, in 1949).Yasujirō Ozu is the master of resistance. Resistance to using the most basic cinematographic tools. But in resisting Ozu creates something unique. His almost ‘anti-action’ way of filmmaking favours contemplation over action.東京物語is tremendously simple. Ozu’s fundamental, stripped-down visual style works in favour of the story, assisting it in portraying realism, stark and unrelenting realism. Ozu…', ""Simple, poignant & heartfelt,Tokyo Storyis a meditation on old age & parents-children relationship concerning an elderly couple who take a trip to Tokyo to visit their grown-up children, only to find out that their kids don't have much time for them & it often contrasts with the couple's visit to their widowed daughter-in-law who treats them with kindness & also takes out time from her busy schedule to devote it in their service.Directed by Yasujirō Ozu, the story moves at a…""]"
26,25,61,25_chaplin_charlie_chaplins_boxing,"['chaplin', 'charlie', 'chaplins', 'boxing', 'tramp', 'lights', 'silent', 'comedy', 'city', 'lightsis']","['Chaplin was a genius', 'Charlie Chaplin is the ONLY man I trust and that is FINAL', 'Chaplin blends drama and comedy with magnificent ease. The pantomime humour still holds up today and had me snickering at quite a few moments.Chaplin’s iconic character is so heartwarming and charming. It’s how he treats other people that makes the film so pleasant to watch.\xa0It really is remarkable that one can tell a story without constant dialogue like this. There is so much passion and talent in creating this film through visual storytelling. After watching City Lights, it’s super obvious how much Chaplin has influenced the romance genre and cinema in general.Chaplin Ranked ListWhat’s your favourite Chaplin movie?']"
27,26,58,26_bresson_bressons_robert_escaped,"['bresson', 'bressons', 'robert', 'escaped', 'escape', 'prison', 'fontaine', 'man', 'process', 'escapedis']","[""A Man Escaped is a very straightforward and minimalist POW story, keeping an incredible sense of realism from beginning to end. Here we focus on Le lieutenant Fontaine, a French Resistance activist captured by the nazis, who cautiously develops a risky yet achievable plan to try to escape from the prison. Director Robert Bresson showed great attention to every detail of Fontaine's thinking process, exposing how meticulous and patient he is during all his planning. The constant presence of an…"", 'Robert Bresson makes prison escape films like no other director. Based on the memoirs of André Devigny, it shows a French Resistance fighter imprisoned by the occupying Germans in a stark, brutal prison in Lyon. Locked up for most of the day and not even allowed to speak to fellow inmates, Fontaine puts all his energy into working on an impossible escape. Bresson shows us the meticulous planning that goes on painstakingly for months and months in virtual silence, and…', 'Robert Bresson’s “A Man Escaped” has some of the most intense focus of any movie ever made.Bresson was accused (if that word can be justified) of using his actors like clay, rather than humans. “Escaped” is then, essentially Bresson’s process film for his craft.Bresson shows; wood grain for wood grain, knot for knot, the attempt by François Leterrier’s imprisoned French rebel to escape a Nazi jail. It is a tenuous and tedious process, and there is not any…']"
28,27,57,27_rings_lord_extended_trilogy,"['rings', 'lord', 'extended', 'trilogy', 'lotr', 'fellowship', 'journey', 'cuts', 'forthe', 'days']","['THE LORD OF THE RINGS trilogy should be considered as one of the best LGBTQ+ movies ever.', 'THE LORD OF THE RINGS trilogy should be considered as one of the best LGBTQ+ movies ever.', 'The Lord of the Rings is the only tale that really matters.']"
29,28,56,28_byrne_david_heads_concert,"['byrne', 'david', 'heads', 'concert', 'band', 'byrnes', 'orchestra', 'talking', 'bass', 'song']","[""There's an entire movie happening inside of David Byrne."", 'david byrne looks like oppenheimer?', 'me::(david byrne:*gets on stage wearing the big suit*me::)']"
30,29,56,29_spike_lee_lees_right,"['spike', 'lee', 'lees', 'right', 'thing', 'racial', 'racism', 'mookie', 'brooklyn', 'hottest']","['I think this is the best film that deals with race relations. The tension slowly building as you wait for the hammer to drop on the hottest day of the year. It’s not an easy film to watch but it’s an important one. Spike Lee doesn’t shy away from the truth and I have nothing but respect for that. I’m sure everyone has seen this and it’s one of my favourite movies of all time, from Spike Lee’s incredible script, to the fantastic acting, and the perfect direction it truly is a masterpiece.', 'this spike lee guy is a pretty good director', 'Do the Right Thing. 1989. Directed by Spike Lee.Dis is da joint! A Spike Lee Joint, ✊🏿Spike Lee’s films know how to capture street life, causes that should not be ignored and are full of diversity. Blackkklansman (2018), 25th Hour (2002), and Do the Right Thing (1989) are a few examples of fine Spike Lee films. Life on one of the hottest days on record in Brooklyn is put on display in Do the Right Thing. Mister Señor…']"
